[2020-06-19 10:09:23,919]-[7652-6656]-INFO: -------数据插入失败 MySQL driver not installed!-------
[2020-06-19 10:13:34,801]-[7648-8204]-INFO: F:\trunk
[2020-06-19 10:13:34,802]-[7648-8204]-INFO: -------测试用例开始---------
[2020-06-19 10:13:35,368]-[7648-8204]-INFO: 报告文件：F:/trunk/var/report/202006/19/2020-06-19 10_13_35_result.html
[2020-06-19 10:14:04,473]-[7648-8204]-INFO: -------测试用例执行失败---------
[2020-06-19 10:15:04,004]-[8644-8948]-INFO: F:\trunk
[2020-06-19 10:15:04,005]-[8644-8948]-INFO: -------测试用例开始---------
[2020-06-19 10:15:04,145]-[8644-8948]-INFO: 报告文件：F:/trunk/var/report/202006/19/2020-06-19 10_15_04_result.html
[2020-06-19 10:17:57,811]-[10160-10164]-INFO: F:\trunk
[2020-06-19 10:17:57,812]-[10160-10164]-INFO: -------测试用例开始---------
[2020-06-19 10:17:57,856]-[10160-10164]-INFO: 报告文件：F:/trunk/var/report/202006/19/2020-06-19 10_17_57_result.html
[2020-06-19 10:17:57,857]-[10160-10164]-INFO: -------测试用例执行失败---------
[2020-06-19 10:18:27,769]-[1804-8980]-INFO: F:\trunk
[2020-06-19 10:18:27,770]-[1804-8980]-INFO: -------测试用例开始---------
[2020-06-19 10:18:27,814]-[1804-8980]-INFO: 报告文件：F:/trunk/var/report/202006/19/2020-06-19 10_18_27_result.html
[2020-06-19 10:18:27,814]-[1804-8980]-INFO: -------测试用例执行失败---------
[2020-06-19 10:19:27,217]-[8948-8356]-INFO: F:\trunk
[2020-06-19 10:19:27,218]-[8948-8356]-INFO: -------测试用例开始---------
[2020-06-19 10:19:27,296]-[8948-8356]-INFO: 报告文件：F:/trunk/var/report/202006/19/2020-06-19 10_19_27_result.html
[2020-06-19 10:20:03,718]-[8948-8356]-INFO: -------测试用例执行失败---------
[2020-06-19 10:42:02,351]-[9612-8928]-INFO: F:\trunk
[2020-06-19 10:42:02,352]-[9612-8928]-INFO: -------测试用例开始---------
[2020-06-19 10:42:02,431]-[9612-8928]-INFO: 报告文件：F:/trunk/var/report/202006/19/2020-06-19 10_42_02_result.html
[2020-06-19 10:42:02,432]-[9612-8928]-INFO: -------测试用例执行失败---------
[2020-06-19 10:42:18,134]-[9760-9712]-INFO: F:\trunk
[2020-06-19 10:42:18,134]-[9760-9712]-INFO: -------测试用例开始---------
[2020-06-19 10:42:18,226]-[9760-9712]-INFO: 报告文件：F:/trunk/var/report/202006/19/2020-06-19 10_42_18_result.html
[2020-06-19 10:42:18,226]-[9760-9712]-INFO: -------测试用例执行失败---------
[2020-06-19 11:03:02,462]-[9888-9992]-INFO: F:\trunk
[2020-06-19 11:03:02,462]-[9888-9992]-INFO: -------测试用例开始---------
[2020-06-19 11:03:02,534]-[9888-9992]-INFO: 报告文件：F:/trunk/var/report/202006/19/2020-06-19 11_03_02_result.html
[2020-06-19 11:03:24,760]-[9888-9992]-INFO: -------测试用例执行失败---------
[2020-06-19 11:03:55,733]-[8988-9644]-INFO: F:\trunk
[2020-06-19 11:03:55,733]-[8988-9644]-INFO: -------测试用例开始---------
[2020-06-19 11:03:55,805]-[8988-9644]-INFO: 报告文件：F:/trunk/var/report/202006/19/2020-06-19 11_03_55_result.html
[2020-06-19 11:03:55,805]-[8988-9644]-INFO: -------测试用例执行失败---------
[2020-06-19 11:05:30,745]-[9092-8940]-INFO: -------数据插入失败 MySQL driver not installed!-------
